	Arcos	Bambui	Bom Despacho	Campo Belo	Candeias	Carmopolis de Minas	Claudio	Divinopolis	Dores do Indaia	Formiga	Iguatama	Itaguara	Itauna	Lagoa da Prata	Luz	Moema	Nova Serrana	Oliveira	Para de Minas	Pitangui	Santo Antonio do Amparo	Santo Antonio do Monte
Arcos	0.0	0.7971244484611055	0.8236765730132716	0.6400935548097396	0.0	0.5210614020252838	0.0	0.9532057346587733	0.5080106814882581	0.8822710665816149	0.0	0.6765274369869704	0.6464931244336858	0.0	0.8702374215166935	0.5122963874524793	0.6922414480356125	0.0	0.6914776182264742	0.0	0.8725909649800133	0.6494354599761565
Bambui	0.7971244484611055	0.0	0.894919861356065	0.9196815815931182	0.7657889611979833	0.0	0.0	0.732803082212622	0.7140101463141143	0.5999504467595714	0.0	0.8091748922926916	0.5137519558224853	0.0	0.5899206295447917	0.0	0.0	0.0	0.7201317234004047	0.0	0.783088715236667	0.8096298638302901
Bom Despacho	0.8236765730132716	0.894919861356065	0.0	0.9297963580785971	0.6086364478990294	0.0	0.0	0.8856029968207573	0.6388748587516755	0.0	0.0	0.9238552722053012	0.0	0.0	0.5339695238035607	0.0	0.7981773780399954	0.0	0.6332538912256229	0.0	0.8834158321373917	0.9645025009756174
Campo Belo	0.6400935548097396	0.9196815815931182	0.9297963580785971	0.0	0.856096620246294	0.0	0.0	0.6863067551767867	0.5878455785762322	0.0	0.0	0.9416124330117919	0.0	0.0	0.0	0.0	0.5917062367779827	0.0	0.0	0.0	0.7995859091686094	0.9342796749841259
Candeias	0.0	0.7657889611979833	0.6086364478990294	0.856096620246294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7198897960153773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6504572829647488
Carmopolis de Minas	0.5210614020252838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5859223440116581	0.6391301114981385	0.0	0.0	0.9833067617655038	0.0	0.8151868092855251	0.6449765572875039	0.0	0.0	0.7652712899744137	0.0	0.0	0.0
Claudio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6948877210765272	0.0	0.0	0.7833644279132691	0.0	0.0	0.0	0.0	0.0	0.9551041075468308	0.0	0.0
Divinopolis	0.9532057346587733	0.732803082212622	0.8856029968207573	0.6863067551767867	0.0	0.0	0.0	0.0	0.0	0.7484082974308339	0.0	0.7858269557860648	0.0	0.0	0.7289239507015723	0.0	0.876660377177974	0.0	0.5660009032665382	0.0	0.9295867010597868	0.7657650483963875
Dores do Indaia	0.5080106814882581	0.7140101463141143	0.6388748587516755	0.5878455785762322	0.0	0.5859223440116581	0.0	0.0	0.0	0.0	0.0	0.0	0.631147716637669	0.0	0.5938338605825617	0.0	0.0	0.0	0.9428230608357753	0.0	0.0	0.6211104154741495
Formiga	0.8822710665816149	0.5999504467595714	0.0	0.0	0.0	0.6391301114981385	0.0	0.7484082974308339	0.0	0.0	0.0	0.0	0.711949357378783	0.0	0.8376505390906231	0.8164242787128754	0.0	0.7590395381578582	0.0	0.0	0.7156197920884808	0.0
