	Aguanil	Araujos	Camacho	Cana Verde	Carmo da Mata	Carmo do Cajuru	Conceicao do Para	Corrego Danta	Corrego Fundo	Cristais	Estrela do Indaia	Igaratinga	Itapecerica	Itatiaiucu	Japaraiba	Leandro Ferreira	Martinho Campos	Medeiros	Onca de Pitangui	Pains	Passa Tempo	Pedra do Indaia	Perdigao	Piracema	Santana do Jacare	Sao Francisco de Paula	Sao Goncalo do Para	Sao Jose da Varginha	Sao Sebastiao do Oeste	Serra da Saudade	Tapirai
Aguanil	0.0	0.9426454699069969	0.9969853496460396	0.9358182725979437	0.929443174727915	0.9884379676992224	0.9828590052524684	0.9987419669001364	0.9367995671884649	0.8875326325703672	0.9451824671209597	0.9974915022332573	0.8011481590956434	0.9857431268742065	0.9361738871352039	0.9950826843167481	0.9301178494220025	0.7709841784854111	0.9947983952116002	0.9593090210883535	0.8035109796014124	0.9934892518871492	0.9948467596752391	0.9425905239488261	0.9997639462736463	0.9203026819121238	0.986281346015024	0.9937800560555274	0.9878457876958813	0.9978051391109071	0.9940593926894781
Araujos	0.9426454699069969	0.0	0.9614281032573289	0.8267683715632096	0.933326245408014	0.9139928136928098	0.9343973706601721	0.9406025184652753	0.9829860669385884	0.7474925439481055	0.9964494189094496	0.9311729015530653	0.665739052099472	0.931953076695244	0.9069028763156608	0.9612490388796734	0.8524789479292293	0.9215077201187133	0.9619776074841433	0.9831485435735382	0.5850524852252557	0.9581543177782352	0.9591392017007035	0.8059212951353143	0.9399888993481516	0.9412969908408811	0.9457645874325185	0.9490653120810963	0.9584744866237443	0.9480636471281273	0.906974919209806
Camacho	0.9969853496460396	0.9614281032573289	0.0	0.9127508008338856	0.9385131209692775	0.9831630905439638	0.9861860412378465	0.9974534118007048	0.9548271964810402	0.8721721440333574	0.962045760414766	0.9947693003010466	0.7634110762411636	0.9886858117829115	0.9507598402526416	0.9993676207321922	0.937866755886971	0.8011643219243892	0.9991597379500262	0.9657999317854399	0.7562485451238242	0.998538389063735	0.999279977449871	0.915536838805559	0.997090663124447	0.9192965492486994	0.9931496207965045	0.9931881860789343	0.994469299073646	0.9961517868158846	0.982868757005022
Cana Verde	0.9358182725979437	0.8267683715632096	0.9127508008338856	0.0	0.7664305636699328	0.9581277261018311	0.9225911807785889	0.9303324396897269	0.7807512752890553	0.7726789061211716	0.8185752787762983	0.9176933370321503	0.8158538738787369	0.9172411034820541	0.8357297908822476	0.9111307718230689	0.812029780759695	0.6037532057368987	0.9126989217150807	0.8745382119722753	0.8689249287511517	0.9045878336747084	0.9067406277771617	0.9910925036064837	0.930940360624251	0.9189481838407337	0.8823697179632741	0.9466312907715041	0.9070339539165564	0.9440877895944109	0.9518137285672288
Carmo da Mata	0.929443174727915	0.933326245408014	0.9385131209692775	0.7664305636699328	0.0	0.8645856212881804	0.8722740367999094	0.920971027485684	0.9806397640609693	0.8984329365858071	0.9585414670640193	0.9377342641615078	0.799030254891617	0.8836065755302603	0.8313137671906206	0.9290916997597113	0.8448694537152494	0.8871507904963187	0.9267138067197808	0.9519001499590202	0.6955529235228238	0.9276614166210732	0.9317696332705969	0.7921924620307486	0.930767311072491	0.8443925942255481	0.9241643209833993	0.8956830033218762	0.9060797468557118	0.9108905422643949	0.9160050972061189
Carmo do Cajuru	0.9884379676992224	0.9139928136928098	0.9831630905439638	0.9581277261018311	0.8645856212881804	0.0	0.9934507973201888	0.9917970707187314	0.8861719548892497	0.8442567574002411	0.9057616266180539	0.9825399625453306	0.7486881768783397	0.9928036704781136	0.9536828653679894	0.9854216687584251	0.938688304919051	0.6965743374873214	0.9860078753920793	0.9223831471419229	0.7965410789759145	0.9845970837011515	0.9842545986139264	0.9559413375794005	0.9880593191336873	0.9085863915445785	0.9781099038352332	0.9949981107224859	0.9867132313497329	0.9936932664083692	0.9822305256068333
Conceicao do Para	0.9828590052524684	0.9343973706601721	0.9861860412378465	0.9225911807785889	0.8722740367999094	0.9934507973201888	0.0	0.9898925287822365	0.9058501923712164	0.8258843523215317	0.9228342710901144	0.9786871039166053	0.6862604043316985	0.9991964949957018	0.9800998807770924	0.990859791079394	0.9583177594872369	0.7254193999199017	0.9914883042632409	0.9231056321033881	0.7291272795151397	0.9917822969602907	0.990212554935074	0.9161385613621176	0.9834862574837471	0.8963825775845521	0.9896629873765491	0.9929109553269815	0.9964769380527434	0.990004907883618	0.9649516647462082
Corrego Danta	0.9987419669001364	0.9406025184652753	0.9974534118007048	0.9303324396897269	0.920971027485684	0.9917970707187314	0.9898925287822365	0.0	0.9321872476252925	0.883436591650514	0.9405083920543826	0.997394162046177	0.7744561720341877	0.9926670882703403	0.9520122793795368	0.9971655472639223	0.9459293943798507	0.7577915345532601	0.9969372435423279	0.9497553492753328	0.7890066501183243	0.9966632246443345	0.9972141071250298	0.9363048161464398	0.9991908574682293	0.908710751529734	0.9921446941563863	0.994924707147143	0.992861257044795	0.9978525986332182	0.9899848515394496
Corrego Fundo	0.9367995671884649	0.9829860669385884	0.9548271964810402	0.7807512752890553	0.9806397640609693	0.8861719548892497	0.9058501923712164	0.9321872476252925	0.0	0.819159489088145	0.993725427813668	0.935791142005396	0.714752352378142	0.9104403625086113	0.8781372829176308	0.9504107368524187	0.8543496058668812	0.9323700601464965	0.9495397885318415	0.9768173932135479	0.6119509472688887	0.9485719261187242	0.9508975420144308	0.7816603587275911	0.9363815351947021	0.8945198349018254	0.9417563423491377	0.9233090689265919	0.9381224201720324	0.930304461337931	0.9070235883963382
Cristais	0.8875326325703672	0.7474925439481055	0.8721721440333574	0.7726789061211716	0.8984329365858071	0.8442567574002411	0.8258843523215317	0.883436591650514	0.819159489088145	0.0	0.781484418504025	0.9136887638590702	0.8561121549100495	0.846323306875559	0.7809112058623064	0.8618077292270884	0.8685749847738911	0.595368650381642	0.8576216975736677	0.7979247136928868	0.868552226802272	0.8648300645002562	0.8684297312601311	0.8400565738045326	0.8940266870337348	0.678037263935787	0.8755549552264448	0.8344434262279479	0.8350698769574549	0.8569578798005691	0.9097360535177692
