	Aguanil	Araujos	Camacho	Cana Verde	Carmo da Mata	Carmo do Cajuru	Conceicao do Para	Corrego Danta	Corrego Fundo	Cristais	Estrela do Indaia	Igaratinga	Itapecerica	Itatiaiucu	Japaraiba	Leandro Ferreira	Martinho Campos	Medeiros	Oliveira	Onca de Pitangui	Pains	Passa Tempo	Pedra do Indaia	Perdigao	Piracema	Santana do Jacare	Sao Francisco de Paula	Sao Goncalo do Para	Sao Jose da Varginha	Sao Sebastiao do Oeste	Serra da Saudade	Tapirai
Aguanil	0.0	0.9997993368001984	0.997831249608321	0.9998209643982517	0.9995404592592364	0.9832778052743729	0.995197682167685	0.9956231650990259	0.9828124662786228	0.9908371465363186	0.9995637370622836	0.9972499756757665	0.9964121734650023	0.9970025790126633	0.9999974219375914	0.9997961018332439	0.9987002818187846	0.9969093824670995	0.8626648309582252	0.9977854658912907	0.9924410757163902	0.9905074194038388	0.9976340352698647	0.9976870253895629	0.9929627934911562	0.9897422377605455	0.9999994068539236	0.9941143018512393	0.9970910432266962	0.996947722101206	0.9992379110811526	0.9991739703897667
Araujos	0.9997993368001984	0.0	0.9989496161060255	0.9999993834884657	0.9999471196218095	0.9867285871558193	0.9969588376720409	0.9972955551074761	0.9863133181615971	0.9879327423882427	0.9999548168449567	0.9985344714844208	0.9945168469131466	0.998352369403996	0.9998422463821559	0.9999999870647102	0.9995208788803176	0.9982830645977135	0.872623495752558	0.9989176718077303	0.9947003138620211	0.9930622627314095	0.9988110219712231	0.9988485100033341	0.9951358817903089	0.9924055154257967	0.9998205621702092	0.9960850263620462	0.99841780766198	0.9983116199267004	0.9998193204763028	0.9997875212530868
Camacho	0.997831249608321	0.9989496161060255	0.0	0.9988981186742419	0.9993680197015968	0.9931326549890275	0.9994825614868968	0.9996157257983479	0.9928325444362434	0.9797979474458304	0.9993400658157247	0.9999654912158756	0.9886803087020654	0.9999330208063798	0.9979781442402101	0.9989569733631953	0.9998892736798005	0.9999184712967982	0.8940861210461212	0.9999997606240958	0.9983667760008879	0.9974073735804667	0.9999957046888246	0.9999976761917536	0.9986046247173619	0.9969996535528742	0.99790235127636	0.9990894435966711	0.9999456900226009	0.999924602608512	0.9996401396906855	0.9996819098337566
Cana Verde	0.9998209643982517	0.9999993834884657	0.9988981186742419	0.0	0.9999350837749331	0.9865476714955385	0.9968716884152835	0.9972133298137522	0.9861296226712903	0.9881041183554243	0.9999436447374986	0.9984737608552526	0.9946323571368573	0.9982880374696737	0.9998613529720803	0.9999991919502407	0.9994858933264777	0.998217407574718	0.8720806380072459	0.9988654068973551	0.9945855312918226	0.9929310770433144	0.9987562736638026	0.9987946213973671	0.9950258792317453	0.9922683121342553	0.9998409805531082	0.9959862511512703	0.9983547527838414	0.9982465055647143	0.9997975966449564	0.9997640154303531
Carmo da Mata	0.9995404592592364	0.9999471196218095	0.9993680197015968	0.9999350837749331	0.0	0.988346285189257	0.9977075394288606	0.9979986349373198	0.9879567853089444	0.9862876985869291	0.9999996974398601	0.9990382254008686	0.9933888056223343	0.9988896719095772	0.9996067140884211	0.9999487607790086	0.9997863278862444	0.9988326431806426	0.8775999260801919	0.9993431851087895	0.9957050677895591	0.9942190264945773	0.9992595409554413	0.9992890648555424	0.9960963411733743	0.9936180483762211	0.9995728822653626	0.9969414505269869	0.9989432791590714	0.9988561711012025	0.9999619314757573	0.999946637636245
Carmo do Cajuru	0.9832778052743729	0.9867285871558193	0.9931326549890275	0.9865476714955385	0.988346285189257	0.0	0.9963819128979925	0.9959940904706717	0.9999967796573417	0.9496717688687794	0.9882275732529748	0.9940703213080899	0.9643372568911479	0.9944202029655593	0.9836887934897492	0.9867546918515531	0.9912817204389441	0.9945455945006397	0.94034703370535	0.993213367419214	0.9981944402301607	0.9989769361921056	0.9934712946215776	0.9933825659219253	0.9979251977941557	0.9992089300363258	0.983475572948403	0.9972198631779601	0.9942980204306273	0.9944944138999152	0.9896368866472313	0.9898660964137447
Conceicao do Para	0.995197682167685	0.9969588376720409	0.9994825614868968	0.9968716884152835	0.9977075394288606	0.9963819128979925	0.0	0.9999901107842613	0.9961630156955387	0.9728582167680754	0.997654594916031	0.999715287670618	0.9833427202510002	0.9997878936619229	0.9954173859727383	0.9969713592882192	0.9988932440793838	0.9998117985136066	0.9080301854787285	0.9995045780432269	0.9996877727650137	0.9992059593737778	0.9995725441562877	0.9995495819527068	0.9997865317808973	0.9989735584780232	0.9953037058559138	0.9999448036097235	0.9997635051505169	0.9998021813372747	0.9982600457683253	0.998353406355318
Corrego Danta	0.9956231650990259	0.9972955551074761	0.9996157257983479	0.9972133298137522	0.9979986349373198	0.9959940904706717	0.9999901107842613	0.0	0.9957639509531834	0.9738777063846332	0.9979491424448079	0.9998115175635244	0.9841413389320564	0.9998695998298096	0.995832815618921	0.9973073634547546	0.9990925436017511	0.9998881893315315	0.9061582174799662	0.9996346665352394	0.9995667617487993	0.9990188856554683	0.9996926788383956	0.9996731626336423	0.9996847578432783	0.998762230243836	0.9957243668930549	0.9998881888765255	0.9998503335354832	0.9998807489989211	0.9985124082213201	0.9985986415034648
Corrego Fundo	0.9828124662786228	0.9863133181615971	0.9928325444362434	0.9861296226712903	0.9879567853089444	0.9999967796573417	0.9961630156955387	0.9957639509531834	0.0	0.9488737377891644	0.9878361226994313	0.9937911566489047	0.9636624425140076	0.9941492791075914	0.9832291207114833	0.9863398255572794	0.9909441426699118	0.994277687185603	0.9412074241018223	0.9929150006039348	0.9980387886650233	0.9988589511098486	0.9931785715376673	0.9930878888565403	0.997758587293059	0.9991047864344225	0.9830129515163045	0.9970275429991264	0.9940241899392166	0.9942252711537589	0.9892692834339378	0.9895025242911072
Cristais	0.9908371465363186	0.9879327423882427	0.9797979474458304	0.9881041183554243	0.9862876985869291	0.9496717688687794	0.9728582167680754	0.9738777063846332	0.9488737377891644	0.0	0.9864157800873843	0.978102697336731	0.9987129272362656	0.9774176685145259	0.9905279055890892	0.9879078176309785	0.9826654831413766	0.9771643674382642	0.7864492280372712	0.9796593360778784	0.9667723903650673	0.9628660179063132	0.979207573709728	0.9793645258622866	0.9678694674251667	0.9613777891259907	0.990689453293897	0.9703732581445761	0.9776604496788058	0.9772682723313947	0.9848101267204518	0.984530151947926
Estrela do Indaia	0.9995637370622836	0.9999548168449567	0.9993400658157247	0.9999436447374986	0.9999996974398601	0.9882275732529748	0.997654594916031	0.9979491424448079	0.9878361226994313	0.9864157800873843	0.0	0.9990038142075284	0.9934778061590024	0.9988527224770819	0.9996282262500242	0.9999563328889896	0.9997699453723453	0.9987947649474969	0.8772267426870445	0.9993146933371592	0.9956327475171186	0.9941352023655906	0.9992293086735075	0.9992594351074272	0.9960273728854877	0.9935300035198142	0.9995953131741939	0.9968803548190894	0.9989072248485777	0.9988186732394033	0.9999548413511224	0.9999382989511335
Igaratinga	0.9972499756757665	0.9985344714844208	0.9999654912158756	0.9984737608552526	0.9990382254008686	0.9940703213080899	0.999715287670618	0.9998115175635244	0.9937911566489047	0.978102697336731	0.9990038142075284	0.0	0.9873997376870944	0.9999946653241905	0.9974156898983546	0.9985431633127367	0.9997311442335265	0.9999900462987408	0.8977762047416679	0.9999710000402552	0.9988069332191165	0.997970786564475	0.999985545434045	0.9999810772974554	0.9990088816652033	0.9976083072425665	0.997330103991915	0.9994094085944631	0.9999977645900192	0.9999921107257903	0.9993827900721781	0.9994378890474965
Itapecerica	0.9964121734650023	0.9945168469131466	0.9886803087020654	0.9946323571368573	0.9933888056223343	0.9643372568911479	0.9833427202510002	0.9841413389320564	0.9636624425140076	0.9987129272362656	0.9934778061590024	0.9873997376870944	0.0	0.9868775770019755	0.9962174272782902	0.9945000136178704	0.9908035245371686	0.9866838542545885	0.8167642894823508	0.9885762582650086	0.9784940046817423	0.9753200306957971	0.9882363061621732	0.9883545556033236	0.979377380557751	0.9741001216960561	0.9963194024716392	0.9813787427629005	0.987062930583631	0.9867633612842129	0.9923493068084033	0.9921498560839123
