	Arcos	Bambui	Bom Despacho	Campo Belo	Candeias	Carmopolis de Minas	Claudio	Divinopolis	Dores do Indaia	Formiga	Iguatama	Itaguara	Itauna	Lagoa da Prata	Luz	Moema	Nova Serrana	Para de Minas	Pitangui	Santo Antonio do Amparo	Santo Antonio do Monte
Arcos	0.0	0.9860665202319276	0.9944244954742986	0.959135023010144	0.6435349173856424	0.9591737485829483	0.9619884571778479	0.9982618708330797	0.9521757988825862	0.9886361318297231	0.8702126451312364	0.9389399724329964	0.9574477884884257	0.9772442470596004	0.9936954906268748	0.0	0.9668771714253851	0.9994264972465755	0.9061751105229024	0.9999559481420432	0.990498547627073
Bambui	0.9860665202319276	0.0	0.9981106400982978	0.9928398839397597	0.7618964531778711	0.9928562272454655	0.9031556641959138	0.9745488211624093	0.9897374951982381	0.9998683273220841	0.9400449932740949	0.9830956562425951	0.9921173358235118	0.9989138362580505	0.9984999798091336	0.0	0.9958651130231271	0.9911341045434164	0.9638994266901753	0.9844616647474684	0.999574643106594
Bom Despacho	0.9944244954742986	0.9981106400982978	0.0	0.983624604926498	0.7206608819741869	0.9836492683968187	0.9278272488054029	0.9864813867091154	0.979087581953669	0.9989762632374473	0.917314002736556	0.9699886082539607	0.9825433946458085	0.9941635914474439	0.9999775450214109	0.0	0.9884018906339637	0.997425038266546	0.9457182554923182	0.9933908988759006	0.9994779822850011
Campo Belo	0.959135023010144	0.9928398839397597	0.983624604926498	0.0	0.8338106090046885	0.9999999906297401	0.8454063096726682	0.9407925693812815	0.9997203603709087	0.990770747946137	0.9740535840418487	0.9979275058903058	0.9999825714766575	0.9973274680335569	0.9848103162492888	0.0	0.9995862000422553	0.968166341378664	0.9888040769382219	0.9564369421176556	0.9889338643586935
Candeias	0.6435349173856424	0.7618964531778711	0.7206608819741869	0.8338106090046885	0.0	0.8337350276624743	0.0	0.5973071638649621	0.8466320218406331	0.7512856738151958	0.9371149300867749	0.867606013241294	0.837055361560256	0.7912488098668391	0.7252907337665613	0.0	0.8175858094111168	0.6690848602025231	0.9068521152925162	0.636322171934344	0.7426829531804159
Carmopolis de Minas	0.9591737485829483	0.9928562272454655	0.9836492683968187	0.9999999906297401	0.8337350276624743	0.0	0.8454794211642698	0.9408389659617864	0.9997171137639396	0.9907892946764582	0.9740225929488059	0.9979186875248505	0.9999817538779562	0.997337460459338	0.9848340767752635	0.0	0.9995901284980588	0.9682005984315224	0.9887836400999936	0.9564768984412094	0.9889541645803981
Claudio	0.9619884571778479	0.9031556641959138	0.9278272488054029	0.8454063096726682	0.0	0.8454794211642698	0.0	0.9764107379215314	0.8325392454796533	0.9100033742022119	0.702589490532317	0.8092842998133409	0.8422381303162924	0.8821705920630364	0.9253067047954895	0.5085712140828605	0.8604205821349339	0.9521892092646981	0.7562394595254082	0.9645093731004986	0.9152919471992569
Divinopolis	0.9982618708330797	0.9745488211624093	0.9864813867091154	0.9407925693812815	0.5973071638649621	0.9408389659617864	0.9764107379215314	0.0	0.9325134135487884	0.9780582796571764	0.8396646298533806	0.9170298434073975	0.9387748318621462	0.9630447211467347	0.9853610459982103	0.0	0.950154130200191	0.9956936996301552	0.8796766401918118	0.9987710667344557	0.9806721173016593
Dores do Indaia	0.9521757988825862	0.9897374951982381	0.979087581953669	0.9997203603709087	0.8466320218406331	0.9997171137639396	0.8325392454796533	0.9325134135487884	0.0	0.9872883213679621	0.9791330280854498	0.9991701159172867	0.9998425502148556	0.9953208687834112	0.9804289344859944	0.0	0.9986264563123399	0.9619764697204636	0.9920562292050994	0.9492658768345931	0.9851490561344797
Formiga	0.9886361318297231	0.9998683273220841	0.9989762632374473	0.990770747946137	0.7512856738151958	0.9907892946764582	0.9100033742022119	0.9780582796571764	0.9872883213679621	0.0	0.9343868581088938	0.9799950939750679	0.9899532089042927	0.9980261822503739	0.9992569877232407	0.0	0.9942598202910683	0.9931596555449924	0.9594516971029727	0.9871815608413491	0.9999162802077476
Iguatama	0.8702126451312364	0.9400449932740949	0.917314002736556	0.9740535840418487	0.9371149300867749	0.9740225929488059	0.702589490532317	0.8396646298533806	0.9791330280854498	0.9343868581088938	0.0	0.986597991905981	0.9753727772392647	0.9549153928374691	0.919961685010092	0.0	0.9671404839179031	0.886396883510321	0.9969191697740287	0.8655499253127289	0.9296987785850857
Itaguara	0.9389399724329964	0.9830956562425951	0.9699886082539607	0.9979275058903058	0.867606013241294	0.9979186875248505	0.8092842998133409	0.9170298434073975	0.9991701159172867	0.9799950939750679	0.986597991905981	0.0	0.9982900227806305	0.9905591624833968	0.971596287570353	0.0	0.995663583208104	0.9500529694172218	0.9963568032766202	0.9356689786021414	0.9773377936650657
Itauna	0.9574477884884257	0.9921173358235118	0.9825433946458085	0.9999825714766575	0.837055361560256	0.9999817538779562	0.8422381303162924	0.9387748318621462	0.9998425502148556	0.9899532089042927	0.9753727772392647	0.9982900227806305	0.0	0.9968787363954251	0.9837680264043397	0.0	0.9993989509681745	0.9666716611455719	0.9896678302497218	0.9546966767143138	0.9880407346692207
Lagoa da Prata	0.9772442470596004	0.9989138362580505	0.9941635914474439	0.9973274680335569	0.7912488098668391	0.997337460459338	0.8821705920630364	0.9630447211467347	0.9953208687834112	0.9980261822503739	0.9549153928374691	0.9905591624833968	0.9968787363954251	0.0	0.9948642405884423	0.0	0.999016380348511	0.983866635588448	0.9752593191459406	0.9752102121433315	0.99713003280743
Luz	0.9936954906268748	0.9984999798091336	0.9999775450214109	0.9848103162492888	0.7252907337665613	0.9848340767752635	0.9253067047954895	0.9853610459982103	0.9804289344859944	0.9992569877232407	0.919961685010092	0.971596287570353	0.9837680264043397	0.9948642405884423	0.0	0.0	0.989397383885392	0.9969220347450447	0.9478749084902135	0.9925993975455175	0.9996720449683797
